Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
12/01/2022	1	1	1	2	30000
12/02/2022	2	2	2	1	12000
12/03/2022	3	3	3	1	13000
12/04/2022	4	4	4	2	50000
12/05/2022	5	1	5	1	23000
12/06/2022	1	1	6	2	54000
12/07/2022	2	2	7	1	16000
12/08/2022	3	3	8	1	14000
12/09/2022	4	4	9	2	34000
12/10/2022	5	1	10	1	18000
12/11/2022	1	1	1	1	15000
12/12/2022	2	2	2	1	12000
12/13/2022	3	3	3	2	26000
12/14/2022	4	4	4	1	25000
12/15/2022	5	1	5	1	23000
12/16/2022	1	1	6	2	54000
12/17/2022	2	2	7	1	16000
12/18/2022	3	3	8	1	14000
12/19/2022	4	4	9	2	34000
12/20/2022	5	1	10	1	18000
12/21/2022	1	1	1	1	15000
12/22/2022	2	2	2	1	12000
12/23/2022	3	3	3	1	13000
12/24/2022	4	4	4	2	50000
12/25/2022	5	1	5	1	23000
12/26/2022	1	1	6	2	54000
12/27/2022	2	2	7	1	16000
12/28/2022	3	3	8	1	14000
12/29/2022	4	4	9	2	34000
12/30/2022	5	1	10	1	18000
12/31/2022	1	1	1	1	15000
