Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
09/01/2022	1	1	1	1	15000
09/02/2022	2	2	2	1	12000
09/03/2022	3	3	3	1	13000
09/04/2022	4	4	4	2	50000
09/05/2022	5	1	5	1	23000
09/06/2022	1	1	6	2	54000
09/07/2022	2	2	7	1	16000
09/08/2022	3	3	8	1	14000
09/09/2022	4	4	9	2	34000
09/10/2022	5	1	10	1	18000
09/11/2022	1	1	1	1	15000
09/12/2022	2	2	2	1	12000
09/13/2022	3	3	3	2	26000
09/14/2022	4	4	4	1	25000
09/15/2022	5	1	5	1	23000
09/16/2022	1	1	6	2	54000
09/17/2022	2	2	7	1	16000
09/18/2022	3	3	8	1	14000
09/19/2022	4	4	9	2	34000
09/20/2022	5	1	10	1	18000
09/21/2022	1	1	1	1	15000
09/22/2022	2	2	2	1	12000
09/23/2022	3	3	3	1	13000
09/24/2022	4	4	4	2	50000
09/25/2022	5	1	5	1	23000
09/26/2022	1	1	6	2	54000
09/27/2022	2	2	7	1	16000
09/28/2022	3	3	8	1	14000
09/29/2022	4	4	9	2	34000
09/30/2022	5	1	10	1	18000
