Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
04/01/2023	1	1	1	1	15000
04/02/2023	2	2	2	2	24000
04/03/2023	3	3	3	1	13000
04/04/2023	4	4	4	2	50000
04/05/2023	5	1	5	1	23000
04/06/2023	1	1	6	2	54000
04/07/2023	2	2	7	1	16000
04/08/2023	3	3	8	1	14000
04/09/2023	4	4	9	2	34000
04/10/2023	5	1	10	1	18000
04/11/2023	1	1	1	2	30000
04/12/2023	2	2	2	1	12000
04/13/2023	3	3	3	1	13000
04/14/2023	4	4	4	2	50000
04/15/2023	5	1	5	1	23000
04/16/2023	1	1	6	2	54000
04/17/2023	2	2	7	1	16000
04/18/2023	3	3	8	1	14000
04/19/2023	4	4	9	2	34000
04/20/2023	5	1	10	1	18000
04/21/2023	1	1	1	1	15000
04/22/2023	2	2	2	1	12000
04/23/2023	3	3	3	2	26000
04/24/2023	4	4	4	1	25000
04/25/2023	5	1	5	1	23000
04/26/2023	1	1	6	2	54000
04/27/2023	2	2	7	1	16000
04/28/2023	3	3	8	1	14000
04/29/2023	4	4	9	2	34000
04/30/2023	5	1	10	1	18000
