Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
08/01/2023	1	1	1	2	30000
08/02/2023	2	2	2	1	12000
08/03/2023	3	3	3	1	13000
08/04/2023	4	4	4	2	50000
08/05/2023	5	1	5	1	23000
08/06/2023	1	1	6	2	54000
08/07/2023	2	2	7	1	16000
08/08/2023	3	3	8	1	14000
08/09/2023	4	4	9	2	34000
08/10/2023	5	1	10	1	18000
08/11/2023	1	1	1	1	15000
08/12/2023	2	2	2	1	12000
08/13/2023	3	3	3	1	13000
08/14/2023	4	4	4	2	50000
08/15/2023	5	1	5	1	23000
08/16/2023	1	1	6	2	54000
08/17/2023	2	2	7	1	16000
08/18/2023	3	3	8	1	14000
08/19/2023	4	4	9	2	34000
08/20/2023	5	1	10	1	18000
08/21/2023	1	1	1	1	15000
08/22/2023	2	2	2	1	12000
08/23/2023	3	3	3	2	26000
08/24/2023	4	4	4	1	25000
08/25/2023	5	1	5	1	23000
08/26/2023	1	1	6	2	54000
08/27/2023	2	2	7	1	16000
08/28/2023	3	3	8	1	14000
08/29/2023	4	4	9	2	34000
08/30/2023	5	1	10	1	18000
08/31/2023	1	1	1	1	15000
