Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
03/01/2023	1	1	1	2	30000
03/02/2023	2	2	2	1	12000
03/03/2023	3	3	3	1	13000
03/04/2023	4	4	4	2	50000
03/05/2023	5	1	5	1	23000
03/06/2023	1	1	6	2	54000
03/07/2023	2	2	7	1	16000
03/08/2023	3	3	8	1	14000
03/09/2023	4	4	9	2	34000
03/10/2023	5	1	10	1	18000
03/11/2023	1	1	1	1	15000
03/12/2023	2	2	2	1	12000
03/13/2023	3	3	3	2	26000
03/14/2023	4	4	4	1	25000
03/15/2023	5	1	5	1	23000
03/16/2023	1	1	6	2	54000
03/17/2023	2	2	7	1	16000
03/18/2023	3	3	8	1	14000
03/19/2023	4	4	9	2	34000
03/20/2023	5	1	10	1	18000
03/21/2023	1	1	1	1	15000
03/22/2023	2	2	2	1	12000
03/23/2023	3	3	3	1	13000
03/24/2023	4	4	4	2	50000
03/25/2023	5	1	5	1	23000
03/26/2023	1	1	6	2	54000
03/27/2023	2	2	7	1	16000
03/28/2023	3	3	8	1	14000
03/29/2023	4	4	9	2	34000
03/30/2023	5	1	10	1	18000
03/31/2023	1	1	1	2	30000
