Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
10/01/2023	1	1	1	3	45000
10/02/2023	2	2	2	1	15000
10/03/2023	3	3	3	2	26000
10/04/2023	4	4	4	1	25000
10/05/2023	5	1	5	2	46000
10/06/2023	1	1	6	1	27000
10/07/2023	2	2	7	3	48000
10/08/2023	3	3	8	2	28000
10/09/2023	4	4	9	1	17000
10/10/2023	5	1	10	1	18000
10/11/2023	1	1	1	2	30000
10/12/2023	2	2	2	2	30000
10/13/2023	3	3	3	1	13000
10/14/2023	4	4	4	3	75000
10/15/2023	5	1	5	1	23000
10/16/2023	1	1	6	1	27000
10/17/2023	2	2	7	2	32000
10/18/2023	3	3	8	3	42000
10/19/2023	4	4	9	1	17000
10/20/2023	5	1	10	2	36000
10/21/2023	1	1	1	1	15000
10/22/2023	2	2	2	2	30000
10/23/2023	3	3	3	3	39000
10/24/2023	4	4	4	1	25000
10/25/2023	5	1	5	2	46000
10/26/2023	1	1	6	3	81000
10/27/2023	2	2	7	1	16000
10/28/2023	3	3	8	1	14000
10/29/2023	4	4	9	2	34000
10/30/2023	5	1	10	1	18000
10/31/2023	1	1	1	1	15000
