Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
02/01/2024	1	1	1	2	30000
02/02/2024	2	2	2	3	45000
02/03/2024	3	3	3	1	13000
02/04/2024	4	4	4	2	50000
02/05/2024	5	1	5	2	46000
02/06/2024	1	1	6	1	27000
02/07/2024	2	2	7	3	48000
02/08/2024	3	3	8	2	28000
02/09/2024	4	4	9	1	17000
02/10/2024	5	1	10	2	36000
02/11/2024	1	1	1	1	15000
02/12/2024	2	2	2	2	30000
02/13/2024	3	3	3	3	39000
02/14/2024	4	4	4	1	25000
02/15/2024	5	1	5	1	23000
02/16/2024	1	1	6	1	27000
02/17/2024	2	2	7	2	32000
02/18/2024	3	3	8	3	42000
02/19/2024	4	4	9	1	17000
02/20/2024	5	1	10	2	36000
02/21/2024	1	1	1	1	15000
02/22/2024	2	2	2	2	30000
02/23/2024	3	3	3	3	39000
02/24/2024	4	4	4	2	50000
02/25/2024	5	1	5	2	46000
02/26/2024	1	1	6	1	27000
02/27/2024	2	2	7	1	16000
02/28/2024	3	3	8	1	14000
02/29/2024	4	4	9	2	34000
