Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
01/01/2024	1	1	1	2	30000
01/02/2024	2	2	2	3	45000
01/03/2024	3	3	3	1	13000
01/04/2024	4	4	4	2	50000
01/05/2024	5	1	5	2	46000
01/06/2024	1	1	6	1	27000
01/07/2024	2	2	7	3	48000
01/08/2024	3	3	8	2	28000
01/09/2024	4	4	9	1	17000
01/10/2024	5	1	10	2	36000
01/11/2024	1	1	1	1	15000
01/12/2024	2	2	2	2	30000
01/13/2024	3	3	3	3	39000
01/14/2024	4	4	4	1	25000
01/15/2024	5	1	5	1	23000
01/16/2024	1	1	6	1	27000
01/17/2024	2	2	7	2	32000
01/18/2024	3	3	8	3	42000
01/19/2024	4	4	9	1	17000
01/20/2024	5	1	10	2	36000
01/21/2024	1	1	1	1	15000
01/22/2024	2	2	2	2	30000
01/23/2024	3	3	3	3	39000
01/24/2024	4	4	4	2	50000
01/25/2024	5	1	5	2	46000
01/26/2024	1	1	6	1	27000
01/27/2024	2	2	7	1	16000
01/28/2024	3	3	8	1	14000
01/29/2024	4	4	9	2	34000
01/30/2024	5	1	10	1	18000
01/31/2024	1	1	1	1	15000
