Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
07/01/2024	1	1	1	1	18000
07/02/2024	2	2	2	2	30000
07/03/2024	3	3	3	1	12000
07/04/2024	4	4	4	3	42000
07/05/2024	5	1	5	2	36000
07/06/2024	1	1	6	1	23000
07/07/2024	2	2	7	2	45000
07/08/2024	3	3	8	3	54000
07/09/2024	4	4	9	1	14000
07/10/2024	5	1	10	2	34000
07/11/2024	1	1	1	1	18000
07/12/2024	2	2	2	3	45000
07/13/2024	3	3	3	1	12000
07/14/2024	4	4	4	2	28000
07/15/2024	5	1	5	1	18000
07/16/2024	1	1	6	2	46000
07/17/2024	2	2	7	1	23000
07/18/2024	3	3	8	3	54000
07/19/2024	4	4	9	2	28000
07/20/2024	5	1	10	2	34000
07/21/2024	1	1	1	1	18000
07/22/2024	2	2	2	2	30000
07/23/2024	3	3	3	1	12000
07/24/2024	4	4	4	3	42000
07/25/2024	5	1	5	2	36000
07/26/2024	1	1	6	1	23000
07/27/2024	2	2	7	2	45000
07/28/2024	3	3	8	3	54000
07/29/2024	4	4	9	1	14000
07/30/2024	5	1	10	2	34000
07/31/2024	1	1	1	1	18000
