Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
06/01/2024	1	1	2	2	30000
06/02/2024	2	2	3	3	45000
06/03/2024	3	3	4	1	13000
06/04/2024	4	4	5	2	50000
06/05/2024	5	1	6	2	46000
06/06/2024	1	1	7	1	27000
06/07/2024	2	2	8	3	48000
06/08/2024	3	3	9	2	28000
06/09/2024	4	4	10	1	17000
06/10/2024	5	1	1	2	36000
06/11/2024	1	1	2	1	15000
06/12/2024	2	2	3	2	30000
06/13/2024	3	3	4	3	39000
06/14/2024	4	4	5	1	25000
06/15/2024	5	1	6	1	23000
06/16/2024	1	1	7	1	27000
06/17/2024	2	2	8	2	32000
06/18/2024	3	3	9	3	42000
06/19/2024	4	4	10	1	17000
06/20/2024	5	1	1	2	36000
06/21/2024	1	1	2	1	15000
06/22/2024	2	2	3	2	30000
06/23/2024	3	3	4	3	39000
06/24/2024	4	4	5	2	50000
06/25/2024	5	1	6	2	46000
06/26/2024	1	1	7	1	27000
06/27/2024	2	2	8	1	16000
06/28/2024	3	3	9	1	14000
06/29/2024	4	4	10	2	34000
06/30/2024	5	1	1	2	36000
