Sale Date	Sales Rep ID	Region ID	Car Model ID	Units Sold	Revenue
11/01/2024	1	1	3	2	24000
11/02/2024	2	2	4	1	14000
11/03/2024	3	3	5	3	54000
11/04/2024	4	4	6	2	48000
11/05/2024	5	1	7	1	25000
11/06/2024	1	1	8	2	36000
11/07/2024	2	2	9	3	42000
11/08/2024	3	3	10	1	17000
11/09/2024	4	4	1	2	26000
11/10/2024	5	1	2	1	19000
11/11/2024	1	1	3	3	36000
11/12/2024	2	2	4	1	14000
11/13/2024	3	3	5	2	36000
11/14/2024	4	4	6	1	24000
11/15/2024	5	1	7	2	50000
11/16/2024	1	1	8	1	18000
11/17/2024	2	2	9	3	42000
11/18/2024	3	3	10	2	34000
11/19/2024	4	4	1	1	13000
11/20/2024	5	1	2	2	38000
11/21/2024	1	1	3	3	36000
11/22/2024	2	2	4	1	14000
11/23/2024	3	3	5	2	36000
11/24/2024	4	4	6	1	24000
11/25/2024	5	1	7	2	50000
11/26/2024	1	1	8	1	18000
11/27/2024	2	2	9	3	42000
11/28/2024	3	3	10	2	34000
11/29/2024	4	4	1	1	13000
11/30/2024	5	1	2	2	38000
